Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
COVID-19,"COVID-19 is a disease caused by the SARS-CoV-2 coronavirus, with common symptoms including fever, chills, and sore throat, and can range from mild to severe."
Influenza,"Influenza is an acute disease that targets the upper respiratory tract and causes inflammation of the upper respiratory tree and trachea, presenting with symptoms ranging from mild to severe."
Strep Throat,Strep throat is a bacterial infection that causes a sore throat and inflammation in the throat and tonsils.
Lyme Disease,"Lyme disease is a bacterial infection that can cause a range of symptoms, from a rash and fever to joint pain and neurological problems, and can become a chronic illness if not treated properly."
Zika Virus,"Zika virus disease is a mild illness with symptoms lasting for several days to a week, but it can cause severe birth defects and complications in rare cases."
Cholera,"Cholera is a disease that can cause mild or moderate loose stools, and in severe cases, it can lead to life-threatening dehydration and electrolyte imbalance."
Measles,"Measles illness causes a blotchy rash and may lead to severe complications, it is a highly contagious viral disease that can cause severe illness."
Mumps,"Mumps is a contagious disease caused by a virus that spreads easily through coughing and sneezing, and it can cause serious health problems."
Rubella,"Rubella is a mild, maculopapular rash along with lymphadenopathy, and a slight fever, characterized by a rash that usually starts on the face and becomes generalized within 24 hours."
Tetanus,"Tetanus is a serious bacterial infection characterized by muscle spasms, often beginning with lockjaw, and can lead to breathing problems and other complications. The infection occurs when tetanus spores enter the body through an injury or wound."
Rabies,Rabies is an acute encephalomyelitis that almost always progresses to coma or death within 10 days after the first symptom. The disease is nearly always fatal once clinical signs appear.
Anthrax,"Anthrax is a rare but deadly disease caused by anthrax spores, which can infect the skin, gastrointestinal tract, or lungs, and can be fatal if left untreated."
Dengue Fever,"Dengue fever is an illness spread by the bite of a mosquito infected with one of four dengue viruses, causing flu-like symptoms that can worsen to severe dengue, a potentially fatal condition."
Yellow Fever,"Yellow fever is a mosquito-borne flavivirus infection endemic in tropical South America and sub-Saharan Africa, causing symptoms ranging from mild to severe, including fever, headache, and organ failure."
Typhoid Fever,"Typhoid fever is a disease spread enterically, causing fever and other constitutional symptoms, and can lead to severe complications or even death if left untreated. It is caused by the bacterium Salmonella Typhi and can be confirmed through blood testing."
Chikungunya,"Chikungunya is a viral disease transmitted to humans through mosquitoes infected with the chikungunya virus, characterized by an abrupt onset of fever and joint pain. The disease is rarely fatal, but can cause severe joint pain that can last for months or even years."
Ebola,"Ebola is a severe and often deadly disease with sudden onset of symptoms, including fever, fatigue, and muscle pain, followed by vomiting, diarrhea, and abdominal pain. It can also cause bleeding, both internally and externally."
Polio,"Polio is a serious disease caused by infection with any of the 3 strains of poliovirus, it can cause total paralysis in a matter of hours and may lead to permanent disability and death."
Leprosy,"Leprosy is a chronic infection caused by the acid-fast bacilli Mycobacterium leprae or the closely related organism M. lepromatosis, affecting mainly the skin and peripheral nerves."
Syphilis,"Syphilis is a bacterial infection primarily transmitted through sexual contact, characterized by several stages with distinct symptoms, and can progress to damage organs if left untreated."
Gonorrhea,"Gonorrhea is a common sexually transmitted disease caused by Neisseria gonorrhoeae, often asymptomatic but can cause serious health problems if left untreated."
Chlamydia,"Chlamydia is a sexually transmitted infection (STI) passed on through unprotected sex, it can cause serious health problems if not treated."
HIV/AIDS,"HIV/AIDS is a condition where the human immunodeficiency virus (HIV) progressively weakens the immune system, leading to various complications and symptoms, and if left untreated, can develop into acquired immunodeficiency syndrome (AIDS)."
Herpes,"Herpes is a viral infection that can cause painful blisters or ulcers, and may be accompanied by flu-like symptoms, with most people having no symptoms or very mild symptoms."
Meningitis,"Meningitis is an infection of the protective membranes that surround the brain and spinal cord, which can be life-threatening if not treated quickly."
Encephalitis,"Encephalitis is a disease that causes inflammation of the brain, leading to symptoms such as fever, headache, and confusion, and can be dangerous if left untreated. The symptoms of encephalitis vary depending on the affected area of the brain and the type of encephalitis."
Sepsis,"Sepsis is a life-threatening condition that happens when the body’s immune system has an extreme response to an infection, causing organ dysfunction. It can lead to shock, multiple organ failure and sometimes death, especially if not recognized early and treated promptly."
Rheumatic Fever,"Rheumatic fever is a disease that can cause long-lasting heart damage, including heart valve problems and heart failure, and is usually triggered by a strep throat infection. It can cause a range of symptoms including fever, joint pain, and chest pain."
Scarlet Fever,"Scarlet fever is a type of bacterial throat infection that also features a red rash, usually affecting young and primary school-aged children, caused by group A streptococci bacteria."
Whooping Cough,"Whooping cough is a highly contagious upper respiratory infection that affects babies, children and adults of all ages, known for the high-pitched “whoop” sound some people make after coughing."
Diphtheria,"Diphtheria is a serious infectious disease that often causes breathing and swallowing problems, it can cause sores on your skin as well."
Botulism,"Botulism is a rare but serious illness caused by a toxin that attacks the body's nerves and causes difficulty breathing, muscle paralysis, and even death. It is a paralyzing disease affecting the body's nervous system caused by the ingestion of one of the potent neurotoxins produced by C. botulinum bacterium."
Toxoplasmosis,"Toxoplasmosis is an infection caused by the zoonotic parasite Toxoplasma gondii, which can lead to serious disease in people with weakened immune systems, and can be passed from mother to fetus during pregnancy."
Giardiasis,"Giardiasis is an intestinal infection caused by a microscopic parasite called Giardia, which can cause gastrointestinal symptoms such as diarrhea, bloating, and stomach cramps."
Amebiasis,"Amebiasis is a parasitic infection of the intestines caused by the amoeba Entamoeba histolytica, which can cause digestive symptoms like belly pain, diarrhea, and bloody stool."
Schistosomiasis,"Schistosomiasis, also known as bilharzia, is a disease caused by parasitic worms found in contaminated fresh water. Symptoms of schistosomiasis are not caused by the worms themselves but by the body’s reaction to the eggs."
Leishmaniasis,"Leishmaniasis is a neglected tropical disease caused by a parasite and spread by the bite of infected sand flies, it can cause substantial morbidity and be life threatening."
Chagas Disease,"Chagas disease is an illness caused by infection with the parasite Trypanosoma cruzi, which can cause a wide range of symptoms, both in the short and long term, including fever, body aches, and heart complications."
Sleeping Sickness,"Sleeping sickness, or human African trypanosomiasis, is a life-threatening disease caused by related parasite strains, transmitted by the tsetse fly."
Scabies,"Scabies is a contagious skin infestation caused by the scabies mite, leading to intense itching and a pimple-like rash, and can cause serious complications if left untreated."
Ringworm,"Ringworm is a fungal infection that causes a red, scaly patch or bump on the skin, often forming a ring pattern, and can affect various parts of the body, including the skin, scalp, hands, and nails."
Candidiasis,"Candidiasis, also called moniliasis or a yeast infection, is an infection of the skin and/or mucous membranes caused by the common yeast species Candida, most commonly Candida albicans."
Tinea,"Tinea is a fungal infection of the skin, also known as ringworm, which can affect any part of the body and is highly contagious."
Aspergillosis,"Aspergillosis refers to a group of conditions caused by infection by or hypersensitivity to the fungus Aspergillus, commonly present in the environment, and can manifest with various symptoms depending on the specific subtype and organ system involved."
